"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2023","103.952","103.485","104.035","103.315","12.82K","0.43%"
"06/05/2023","103.936","103.975","104.360","103.870","12.97K","-0.02%"
"06/06/2023","104.074","103.950","104.315","103.755","10.57K","0.13%"
"06/07/2023","104.055","104.035","104.250","103.565","12.57K","-0.02%"
"06/08/2023","103.316","104.005","104.045","103.270","12.49K","-0.71%"
"06/09/2023","103.533","103.300","103.585","103.280","11.96K","0.21%"
"06/12/2023","103.631","103.545","103.740","103.230","13.91K","0.09%"
"06/13/2023","103.318","103.570","103.610","103.025","20.14K","-0.30%"
"06/14/2023","102.916","103.275","103.385","102.635","19.73K","-0.39%"
"06/15/2023","102.108","102.920","103.360","102.090","10.20K","-0.79%"
"06/16/2023","102.258","102.110","102.255","102.050","2.37K","0.15%"
"06/19/2023","101.838","101.875","102.140","101.845","4.53K","-0.41%"
"06/20/2023","102.125","102.075","102.375","101.920","13.52K","0.28%"
"06/21/2023","101.676","102.090","102.305","101.620","12.80K","-0.44%"
"06/22/2023","101.994","101.665","102.085","101.485","13.60K","0.31%"
"06/23/2023","102.542","102.005","102.785","101.985","13.13K","0.54%"
"06/26/2023","102.334","102.510","102.510","102.250","8.36K","-0.20%"
"06/27/2023","102.127","102.385","102.445","101.960","10.82K","-0.20%"
"06/28/2023","102.548","102.155","102.815","102.120","13.32K","0.41%"
"06/29/2023","103.008","102.625","103.110","102.455","13.45K","0.45%"
"06/30/2023","102.587","103.025","103.230","102.430","12.82K","-0.41%"
"07/03/2023","102.654","102.645","102.955","102.415","9.27K","0.07%"
